graphic_artist,Graphic Artist: Gizem UCAR,Grafik Sanatçısı: Gizem UÇAR,Grafikdesigner: Gizem UÇAR,Художник: Gizem UCAR,Artista Gráfico: Gizem UCAR,Artista Gráfico: Gizem UCAR,Artista grafico: Gizem UCAR,Graphiste: Gizem UCAR,Ilustrator: Gizem UCAR,图形设计 : Gizem UCAR,圖形設計 : Gizem UCAR,アーティスト：Gizem UCAR,아티스트: Gizem UCAR
supporters,SUPPORTERS,DESTEKLEYENLER,UNTERSTÜTZER,ПОМОЩНИКИ,CONTRIBUYENTES,APOIADORES,SOSTENITORI,PARRAINS,WSPIERAJĄCY,支持者,支持者,サポーター,서포터즈
special_thanks,SPECIAL THANKS,ÖZEL TEŞEKKÜRLER,BESONDERER DANK,ОТДЕЛЬНАЯ БЛАГОДАРНОСТЬ,AGRADECIMIENTOS ESPECIALES ,AGRADECIMENTOS ESPECIAIS,RINGRAZIAMENTI SPECIALI,REMERCIEMENTS SPÉCIAUX,SPECJALNE PODZIĘKOWANIA,特别感谢,特別感謝,特別な感謝,특별 감사
mouse_left_title,[[Mouse Left],[[Fare Sol Tuşu],[[Linke Maustaste],[[Левая кнопка мыши],[[Click Izquierdo],[[Botão esquerdo do mouse],[[Tasto sinistro del mouse],[[Clic Gauche],[[Lewy Przycisk Myszy],鼠标左键,滑鼠左鍵,マウスの左ボタン,마우스 왼쪽 버튼
mouse_right_title,[[Mouse Right],[[Fare Sağ Tuşu],[[Rechte Maustaste],[[Правая кнопка мыши],[[Click Derecho],[[Botão direito do mouse],[[Tasto destro del mouse],[[Clic Droit],[[Prawy Przycisk Myszy],鼠标右键,滑鼠右鍵,マウスの右ボタン,마우스 오른쪽 버튼
mouse_wheel_title,[[Mouse Wheel] or [[Q] & [[E],[[Fare Tekerleği] veya [[Q] ve [[E] Tuşları,[[Mausrad] oder [[Q] & [[E] Tasten,[[Колесико мыши] или клавиши [[Q] и [[Е],"[[Rueda de Mouse], o [[Q] y [[E]",[[Roda do mouse] ou teclas [[Q] e [[E],[[Rotellina del mouse] o tasti [[Q] ed [[E],[[Molette] ou touches [[Q] & [[E],[[Kółko Myszy] lub klawisze [[Q] i [[E],鼠标滚轮或Q和E键,滑鼠滾輪或Q和E鍵,マウス ホイールまたは Q & E キー,마우스 휠 또는 Q & E 키
pause_key_title,[[Spacebar],[[Boşluk Tuşu],[[Leertaste],[[Клавиша пробел],[[Barra Espaciadora],[[Barra de espaço],[[Barra Spaziatrice],[[Espace],[[Spacja],空白键,空白鍵,スペースバーキー,스페이스바 키
sell_key_title,[[Ctrl],[[Ctrl Tuşu],[[Strg-Taste],[[Клавиша Ctrl],[[Tecla Ctrl],[[Tecla Ctrl],[[Tasto Ctrl],[[Touche Ctrl],[[Ctrl],Ctrl键,Ctrl鍵,Ctrlキー,Ctrl 키
speed_keys_title,"[[1], [[2], [[3]","[[1], [[2], [[3] Tuşları","[[1], [[2], [[3] Tasten","[[1], [[2], [[3] Кнопки","Teclas [[1], [[2], [[3]","Teclas [[1], [[2], [[3]","Pulsanti [[1], [[2], [[3]","Touches [[1], [[2], [[3]","Klawisze [[1], [[2], [[3]",1、2、和3 键,1、2、和3 鍵,1、2、3ボタン,"1, 2, 3 버튼"
mouse_left_desc,Drag & Drop Items.,İtemleri Sürükle / Bırak.,Elemente ziehen und ablegen.,Перетаскивание элементов.,Arrastrar y soltar elementos.,Arrastar e soltar itens.,Trascina e Rilascia gli elementi.,Déplacer et Lâcher des objets.,Przeciągnij i Upuść Rzeczy.,点击并拖放物品,點擊並拖放物品,項目をドラッグ アンド ドロップします。,항목 드래그 앤 드롭.
mouse_right_desc,Camera Pan.,Kamerayı Kaydır.,Kameraschwenk.,Перемещение камеры.,Panorámica de Cámara.,Mover a câmera.,Sposta la Telecamera.,Déplacer la caméra.,Ruch Kamery.,移动屏幕,移動螢幕,カメラを移動します。,카메라를 움직여 보세요.
mouse_wheel_desc,Zoom In / Out.,Kamerayı Yakınlaştır / Uzaklaştır.,Vergrößern / Verkleinern.,Увеличение/уменьшение масштаба.,Aumentar/Disminuir Zoom.,Aumentar/diminuir zoom.,Zoom Avanti/ Indietro.,Zoom avant / arrière.,Powiększanie / Pomniejszanie.,放大/缩小屏幕,放大/縮小螢幕,ズームイン/ズームアウトします。,확대/축소.
pause_key_desc,Pause & Resume the game.,Oyunu Durdur / Devam Ettir.,Pausiere das Spiel und setze es fort.,Пауза и возобновление игры.,Pausar y resumir el juego. ,Pausar e retomar o jogo.,Mettere in Pausa e Riprendere il gioco.,Pause & reprendre la partie.,Wstrzymaj i Wznów Grę.,暂停和继续游戏,暫停和繼續遊戲,ゲームを一時停止して再開します。,게임을 일시 정지하고 게임을 재개하세요.
sell_key_desc,Sell Mode.,Satış Modu.,Verkaufsmodus.,Режим продажи.,Modo Venta.,Modo venda.,Modalità Vendità.,Mode vente.,Tryb Sprzedaży.,打开销售模式,開啟銷售模式,販売モード,판매 모드
speed_keys_desc,Change the game speed.,Oyunun hızını değiştir.,Die Spielgeschwindigkeit ändern.,Измените скорость игры.,Cambiar velocidad del juego.,Mudar velocidade do jogo.,Cambia la velocità del gioco.,Changez la vitesse du jeu.,Zmień prędkość gry.,控制游戏速度,遊戲速度,ゲーム速度を変更します。,게임 속도를 변경합니다.
empty,Empty,Boş,Leer,Пустой,Vacio,Vazio,Vuoto,Vide,Pusto,无存档,無存檔,空の,비어 있음
new_game,New Game,Yeni Oyun,Neues Spiel,Новая игра,Nueva Partida,Novo jogo,Nuovo Gioco,Nouvelle partie,Nowa Gra,新游戏,新遊戲,新しいゲーム,새 게임
load_game,Load Game,Oyun Yükle,Spiel Laden,Загрузка игры,Cargar Partida,Carregar jogo,Carica Gioco,Charger une partie,Wczytaj Grę,加载游戏,載入遊戲,ゲームをロードする,게임 불러오기
day,Day {_a},Gün {_a},Tag {_a},День {_a},Dia {_a},Dia {_a},Giorno {_a},Jour {_a},Dzień {_a},{_a} 日,{_a} 日,日 {_a},일 {_a}
playtime,Playtime:,Oynama Süresi:,Spielzeit:,Игровое время:,Tiempo de juego:,Tempo de jogo:,Tempo di gioco:,Temps de jeu:,Czas gry:,游玩时间,遊玩時間,プレイ時間:,플레이 시간:
delete_title,Are you sure to delete?,Silmek istediğinize emin misiniz?,"Bist du sicher, dass du das löschen möchtest?","Вы уверены, что хотите удалить?",¿Seguro desea eliminar la partida?,Tem certeza que quer excluir?,Sei sicuro di voler cancellare?,Êtes-vous sûr de supprimer ?,Czy na pewno chcesz usunąć?,确定删除吗？,確定刪除嗎？,削除してもよろしいですか?,이 파일을 삭제하시겠습니까?
delete_description,Deleted save files cannot be restored.,Silinen kayıt dosyaları geri alınamaz.,Gelöschte Speicherdateien können nicht wiederhergestellt werden.,Удаленные файлы сохранения не подлежат восстановлению.,Los archivos de guardado eliminados no pueden ser restaurados.,Dados salvos excluídos não podem ser recuperados.,I file di salvataggio eliminati non possono essere ripristinati.,Les fichiers supprimés ne peuvent pas être restaurés.,Usuniętych plików zapisu nie można przywrócić.,若删除，不可挽回。,若刪除，不可挽回。,削除されたセーブファイルは復元できません。,삭제된 저장 파일은 복원할 수 없습니다.
language,Language:,Dil:,Sprache:,Язык:,Idioma:,Linguagem:,Lingua:,Langue:,Język:,语言:,語言:,言語：,언어:
language_name,ENGLISH,TÜRKÇE,DEUTSCH,РУССКИЙ,ESPAÑOL,PORTUGUÊS,ITALIANO,FRANÇAIS,POLSKI,简体中文,繁體中文,日本語,한국인
messages,Messages,Mesajlar,Nachrichten,Сообщения,Mensajes,Mensagens,Messaggi,Messages,Komunikaty,留言,留言,メッセージ,메시지
quest_completed,Quest Complete!,Görev Tamamlandı!,Aufgabe abgeschlossen!,Задание выполнено!,¡Objetivo Completo!,Tarefa Concluída!,Missione Completata!,Quête completée!,Zadanie wypełnione!,任务完成！,任務完成！,,
quest,QUEST,GÖREV,AUFGABE,ЗАДАНИЕ,OBJETIVO,TAREFA,MISSIONE,QUÊTE,ZADANIE,任务,任務,,
info_box,Information Box,Bilgi Kutusu,Informationskasten,Основная информация,Cuadro de Información,Caixa de informação,Casella Informazioni,Boîte d'information,Okno Informacyjne,物品信息,物品資訊,,
info_box_desc,"Move your [[Mouse] on anything to see its details here. Check these:#- Quests,#- Items,#- UI Frames.","Detaylarını görmek istediğiniz herhangi bir varlığın [[Fare] ile üzerinde durun. Şunlara bakın:#- Görevler, #- Objeler,#- Arayüz Çerçeveleri.","Bewege die [[Maus] über etwas, um die Details zu sehen. Gucke dir die an:#- Suche,#- Gegenstände,#- UI-Frames.","Наведите [[Курсор мыши] на что-нибудь, чтобы увидеть подробности. Отметьте это:#- Задания,#- Предметы,#- Интерфейс.","Mueve el [[Mouse] sobre cualquier cosa para ver sus detalles aquí. Pruebalo!:#- Objetivos,#- Objetos,#- Marcos de Interfáz.","Mova seu [[Mouse] sobre qualquer coisa para ver os detalhes aqui. Experimente:#-Tarefas,#-Itens,#-Interfaces","Muovi il [[Mouse] su qualsiasi cosa per vederne i dettagli qui. Controllai:#- Missioni,#- Oggetti,#- Frame dell'interfaccia utente.","Placez votre [[Souris] sur quelque chose pour voir plus de détails. Pensez à vérifier:#- Les Quêtes,#- Les Objets,#- Les Interfaces Utilisateur","Najedź [[Myszą] na cokolwiek, żeby zobaczyć szczegóły. Możesz sprawdzać:#- Zadania,#- Przedmioty,#- Interfejs.",把鼠标移到任何东西上即可看到更多信息。（可查看：#- 任务，#- 物品，#- 用户界面的信息。）,把滑鼠移到任何東西上即可看到更多資訊。 （可查看：#- 任務，#- 物品，#- 使用者介面的資訊。）,,
saving_game,Saving Game,Oyun Kaydediliyor,Spiel Wird Gespeichert,Сохранение Игры,Guardando Partida,Salvando Jogo,Salvataggio del Gioco,Sauvegarde en cours,Trwa zapisywanie gry,保存游戏…,保存遊戲…,,
pause_text,GAME PAUSED,OYUN DURAKLATILDI,SPIEL PAUSIERT,ИГРА ПРИОСТАНОВЛЕНА,PARTIDA PAUSADA,JOGO PAUSADO,GIOCO IN PAUSA,JEU EN PAUSE,GRA WSTRZYMANA,游戏暂停,遊戲暫停,,
day_count,DAY {_a},GÜN {_a},Tag {_a},ДЕНЬ {_a},DIA {_a},DIA {_a},GIORNO {_a},JOUR {_a},DZIEŃ {_a},第 {_a} 天,第 {_a} 天,,
day_frame_title,Day Cycle,Gün Döngüsü,Tageszyklus,Дневной Цикл,CICLO DIARIO,Ciclo Diário,Ciclo Giornaliero,Cycle des journées,Pora dnia,时间,時間,,
day_frame_desc,"Current Day, Time, and Speed.#Press [[Spacebar] to Pause,#Press [[1] [[2] [[3] to toggle between Game Speeds.","Anlık Gün, Zaman ve Oyun Hızı.#Oyunu duraklatmak için [[Boşluk] tuşuna basabilir,#[[1],[[2],[[3] tuşları ile oyun hızları arasında geçiş yapabilirsiniz.","Aktueller Tag, Uhrzeit und Geschwindikeit. Drücke die [[Leertaste] zum Anhalten, drücken Sie [[1] [[2] [[3], um zwischen den Spielegeschwindigkeiten zu wechseln.","Текущий день, Время и Скорость.#Нажмите [[Пробел], чтобы приостановить,#Нажмите [[1] [[2] [[3], чтобы переключаться между скоростями игры.","Día actual, Hora y Velocidad.#Pulsa [[Barra Espaciadora] para Pausar,#Pulsa [[1] [[2] [[3] para alternar entre Velocidades de Juego.","Dia Atual, Tempo e Velocidade.#Aperte [[Espaço] para Pausar,#Aperte [[1] [[2] [[3] para alternar entre as Velocidades de Jogo.","Giorno, Ora, e Velocità Attuali.#Premere [[Barra Spaziatrice] per Pausa,#Premere [[1] [[2] [[3] per alternare tra le Velocità Di Gioco.","Jour actuel, Heure, et Vitesse du jeu.#Appuyez sur [[Espace] pour mettre le jeu en Pause,#Appuyez sur [[1] [[2] [[3] pour modifier la Vitesse du Jeu.","Bieżący dzień, czas i prędkość gry.#Wciśnij [[Spację], aby wstrzymać grę,#Wciśnij [[1] [[2] [[3], aby przełączyć pomiędzy predkościami gry.",显示您当前的天数，时间，和速度。#点击空白键暂停、#点击1，2，3键更改速度。,顯示您目前的天數，時間，和速度。 #點擊空白鍵暫停、#點擊1，2，3鍵更改速度。,,
coin_frame,Gold & Capacities,Altın & Kapasiteler,Gold & Kapazitäten,Золото и Количество ресурсов,Oro y Capacidades,Ouro e Capacidades,Oro e Capacità,Or et Limites,Złoto i Limity,财富和存储空间,財富和儲存空間,,
coin_frame_desc,"Your current Gold, Sheep Capacity, Resource Capacity, and Structure Capacity respectively.","Sırasıyla mevcut Altın Paralarınız, Koyun Kapasiteniz, Kaynak Kapasiteniz ve Yapı Kapasiteniz.","Dein derzeitiges Gold, und Deine derzeitige Schaf-, Ressourcen- und Strukturkapazität.","Ваше текущее количество Золота, Овец, Ресурсов и Структур соответственно.","Oro actual, capacidad de Ovejitas, capacidad de recursos y capacidad de estructuras, respectivamente.","Seu Ouro Atual, Capacidade de Ovelhas, Capacidade de Recursos e Capacidade de Estruturas, Respectivamente.","Il tuo Oro, Limite di Pecore, Limite di Risorse e  Limite di Strutture rispettivamente.","Respectivement, votre Or, la Limite de Moutons, la Limite de Ressources, et la Limite de Structures.","Twoje obecne Złoto, Limit Owiec, Limit Zasobów i Limit Budowli.",分别显示您当前的财富、小羊数量、物资存储情况和建筑存储情况。,分別顯示您目前的財富、小羊數量、資源儲存狀況和建築儲存狀況。,,
gold_coins_frame,Gold Coins,Altın Paralar,Goldmünzen,Золотые Монеты,Monedas de Oro,Moedas de Ouro,Monete d'Oro,Pièces d'Or.,Złote Monety,金币,金幣,,
gold_coins_frame_desc,Your current gold coins. Make sure to spend them wisely!,Mevcut Altın Paralarınız. Onları bilgece harcadığınızdan emin olun!,Deine aktuelle Münzanzahl. Nutze sie weise!,Ваши текущие золотые монеты. Тратьте их с умом!,Sus monedas de oro actuales. Asegúrese de gastarlas sabiamente.,Suas moedas de ouro atuais. Tente gastar com sabedoria!,Le tue monete d'oro. Assicurati di spendere saggiamente!,Les pièces d'or que vous possédez. Dépensez-les de manière intelligente!,Twój obecny stan złotych monet. Staraj się wydawać je rozważnie!,闪闪发光的金币。一定要省着点用！,閃閃發光的金幣。一定要省點用！,,
sheep_capacity_frame_title,Sheep Capacity,Koyun Kapasitesi,Schafkapazität,Количество Овец,Capacidad de Ovejitas,Capacidade de Ovelhas,Limite di Pecore,Limite de Moutons,Limit Owiec,小羊数量,小羊數量,,
sheep_capacity_frame_desc,Your current Sheep count by Sheep Capacity. You can buy Sheep Capacity from the Market to increase it.,Mevcut Koyun Sayısı / Koyun Kapasitesi. Koyun Kapasitenizi artırmak için marketten satın alabilirsiniz.,Deine aktuelle Schafanzahl nach deiner Schafkapazität. Du kannst Schafkapazität im Laden kaufen.,"Текущее количество Овец определяется по их Поголовью. Вы можете купить Поголовье овец на рынке, чтобы увеличить количество особей.",Su conteo actual de Ovejitas por capacidad de Ovejitas. Puede aumentar el limite de capacidad de Ovejitas en el mercado.,Sua Contagem/Capacidade de Ovelhas. Você pode aumentar a capacidade no Mercado.,Le Pecore che possiedi e il Limite di Pecore. Puoi ampliare il Limite di Pecore al Mercato. ,Le nombre de Moutons que vous possédez par rapport à la Limite de Moutons. Vous pouvez augmenter la Limite de Moutons depuis le marché.,Twoja obecna ilość owiec i ich limit. Możesz powiększyć limity poprzez wykupienie ich ze Sklepu.,您当前的小羊数量。可以在商场上购买更多存储空间。,您目前的小羊數量。可以在商場上購買更多儲存空間。,,
resource_capacity_frame_title,Resource Capacity,Kaynak Kapasitesi,Ressourcenkapazität,Количество Ресурсов,Capacidad de Recursos,Capacidade de Recursos,Limite di Risorse,Limite de Ressources,Limit Zasobów,物资,資源,,
resource_capacity_frame_desc,Your current Resource count by Resource Capacity. You can increase capacity by buying it from the Market.,Mevcut Kaynak Sayısı / Kaynak Kapasitesi. Kaynak Kapasitenizi artırmak için marketten satın alabilirsiniz.,Deine Ressourcenanzahl nach deiner Ressourcenkapazität. Du kannst die Ressourcenkapazität im Laden kaufen.,"Ваш текущий Ресурс определяется по его Количеству. Вы можете увеличить количество ресурса, купив его на рынке.",Su conteo actual de recursos por capacidad de recursos. Puede aumentar la capacidad comprándola en el Mercado.,Sua Contagem/Capacidade de Recursos. Você pode aumentar a capacidade no Mercado.,Le Risorse che possiedi e il Limire di risorse. Puoi ampliare il Limite di Risorse al Mercato,Le nombre de Ressources que vous possédez par rapport à la Limite de Ressources. Vous pouvez augmenter la Limite de Ressources depuis le marché.,Twoja obecna ilość zasobów i ich limit. Możesz powiększyć limity poprzez wykupienie ich ze Sklepu.,您当前的物资和物资存储空间。可以在商场上购买更多存储空间。,您目前的資源和資源儲存空間。可以在商場上購買更多儲存空間。,,
structure_capacity_frame,Structure Capacity,Yapı Kapasitesi,Strukturkapazität,Количество Построек,Capacidad de Estructuras,Capacidade de Estruturas,Limite di Strutture,Limite de Structures,Limit Budowli,建筑,大樓,,
structure_capacity_frame_desc,Your current Structure count by Structure Capacity. You can increase capacity by buying it from the Market.,Mevcut Yapı Sayısı / Yapı Kapasitesi. Yapı Kapasitenizi artırmak için marketten satın alabilirsiniz.,Deine Strukturanzahl nach deiner Strukturkapazität. Du kannst Strukturkapazität im Laden kaufen.,"Ваша текущая Постройка рассчитывается по Количеству Построек. Вы можете увеличить количество построек, купив ее на рынке.",Su conteo actual de estructuras por capacidad de estructuras. Puede aumentar la capacidad comprándola en el Mercado.,Sua Contagem/Capacidade de Estruturas. Você pode aumentar a capacidade no Mercado.,Le Strutture che possiedi e il Limite di Strutture. Puoi ampliare il Limite di Strutture al Mercato.,Le nombre de Structures que vous possédez par rapport à la Limite de Structures. Vous pouvez augmenter la limite de Structures depuis le marché.,Twoja obecna ilość budowli i ich limit. Możesz powiększyć limity poprzez wykupienie ich ze Sklepu.,您当前的建筑和建筑存储空间。可以在商场上购买更多存储空间。,您目前的建築和建築儲存空間。可以在商場上購買更多儲存空間。,,
sell_price,Sell Price:,Satış Fiyatı:,Verkaufspreis:,Цена Продажи:,Precio de Venta:,Preço de Venda:,Prezzo di Vendita:,Prix de vente:,Cena Sprzedaży:,售价：,售價：,,
menu_button,Menu Button,Menü Butonu,Menü Knopf,Кнопка Меню,Botón de Menú,Botão do Menu,Pulsante Menu,Bouton des Menus,Przycisk Menu,主菜单,主菜單,,
menu_button_desc,"Click to access the Market, Quest List, or Menu.
","Markete, Görev Listesine veya Menüye erişmek için tıklayın.","Klicke um den Laden, die Aufgabenlsite oder das Menü aufzurufen.","Нажмите, чтобы получить доступ к Рынку, Списку Заданий или Меню.","Haga clic para acceder al Mercado, Lista de Objetivos o Menú.","Clique para acessar o Mercado, Lista de Tarefas ou o Menu.","Clicca per accedere a Mercato, Lista delle Missioni, o il Menu.","Cliquez pour accéder au Marché, à la Liste de Quêtes ou au Menu.","Wciśnij, żeby otworzyć sklep, listę zadań albo Menu.",点击主菜单可以进到商场、任务单，或者菜单。,點擊主菜單可以進到商場、任務單，或者菜單。,,
close_menu,Close Menu,Menüyü Kapat,Menü Schließen,Закрыть Меню,Cerrar Menú,Fechar Menu,Chiudi Menu,Fermer le Menu,Zamknij Menu.,关闭菜单,關閉菜單,,
close_menu_desc,Click to close the Menu and resume the game.#(You can also use the ESC key.),Menüyü kapatıp oyuna devam etmek için tıklayın.#(ESC tuşunu da kullanabilirsiniz.),Klicke um das Menü zu schließen und mit dem Spiel weiterzumachen. ,"Нажмите, чтобы закрыть Меню и вернуться к игре.",Haga clic para cerrar el Menú y reanudar el juego.,Clique para fechar o Menu e retomar o jogo.,Clicca per chiudere il Menu e ricominciare a giocare.,Cliquez pour fermer le Menu et reprendre le jeu.,"Wciśnij, żeby zamknąć Menu i wznowić grę.",点击退出菜单和继续游戏。,點擊退出菜單和繼續遊戲。,,
save_game,Save Game,Oyunu Kaydet,Spiel Speichern,Сохранить Игру,Guardar Partida,Salvar Jogo,Salva il Gioco,Sauvegarder la Partie,Zapisz Grę,保存,保存,,
save_game_desc,Click to Save your current progress.,Mevcut ilerlemenizi Kaydetmek için tıklayın.,Klicke um dein aktuellen Spielstand zu speichern.,"Нажмите, чтобы Сохранить ваш текущий прогресс.",Haga clic para guardar su progreso actual.,Clique para salvar seu progresso atual.,Clicca per Salvare il tuo progresso.,Cliquez pour Sauvegarder votre progression actuelle.,"Wciśnij, żeby zapisać swój obecny postęp.",点击保存当前的游戏进度。,點擊保存當前的遊戲進度。,,
load_game_desc,Click to Load from your saved games.,Kayıtlı oyunlarınızdan Yüklemek için tıklayın.,Klicke um deine gespeicherten Spielestände zu laden.,"Нажмите, чтобы Загрузить вашу сохраненную игру.",Haga clic para cargar desde sus partidas guardadas.,Clique para Carregar um jogo salvo.,Clicca per Caricare il tuo progresso.,Cliquez pour Charger une partie sauvegardée.,"Wciśnij, żeby wczytać grę.",点击继续您之前玩的游戏。,點擊繼續您之前玩的遊戲。,,
return_to_menu,Return to Menu,Ana Menüye Dön,Zurück zum Hauptmenü,Вернуться в Меню,Volver al Menú,Sair para o Menu,Ritorna al Menu,Retourner au Menu,Powrót do Menu,返回到主屏幕,返回到主屏幕,,
return_to_menu_desc,Click to return to the Main Menu without saving your current progress.,Mevcut ilerlemenizi kaydetmeden Ana Menüye dönmek için tıklayın.,"Klicke um zum Hauptmenü zu gelangen, ohne deinen Spielstand zu speichern.","Нажмите, чтобы вернуться в Главное Меню без сохранения текущего прогресса.",Haga clic para regresar al Menú Principal sin guardar su progreso actual.,Clique para retornar ao Menu Principal sem salvar seu progresso atual.,Clicca per tornare al Menu Principale senza salvare i progressi.,Cliquez pour retourner au Menu Principal sans sauvegarder votre progression.,"Wciśnij, żeby wrócić do głównego Menu bez zapisywania obecnego postępu.",点击返回到主屏幕而不保存。,點擊返回到主屏幕而不保存。,,
join_discord,Join Our Discord!,Discord'a Katılın!,Tritt unserem Discord bei!,Присоединяйся к Discord!,Únete a nuestro Discord!,Junte-se ao nosso Discord!,Uniciti al nostro Server Discord!,Rejoignez Notre Discord!,Dołącz do naszego Discorda!,加入我们的 Discord！,加入我們的 Discord！,,
join_discord_desc,Thank you for playing Happy Sheepies! If you like the game don't hesitate to join our Discord Community and give us new tasks to grow the game.,"Happy Sheepies oynadığınız için teşekkür ederiz! Eğer oyunu beğendiyseniz, Discord Sunucumuza katılıp oyunu geliştirmek için bize yeni görevler vermekten çekinmeyin.","Danke für das Spielen von Happy Sheepies! Wenn du das Spiel magst, kannst du unserem Discord beitreten und uns neue Aufgaben geben, damit das Spiel wachsen kann.","Спасибо, что играете в Happy Sheepies! Если вам понравилась игра, не стесняйтесь присоединиться к нашему Сообществу в Discord и давать нам новые задания для развития игры.","¡Gracias por jugar Happy Sheepies! Si te gustó el juego, no dudes en unirte a nuestra comunidad de Discord y darnos objetivos nuevos para crecer el juego.","Obrigado por jogar Happy Sheepies! Se você gosta do jogo, não hesite em se juntar a nossa Comunidade no Discord e nos dar novas tarefas para aumentar o jogo.",Grazie per aver giocate Happy Sheepies! Se ti piace il gioco non esitare ad entrare nella nostra Community di Discord e farci sapere come migliorare il gioco.,"Merci d'avoir joué à Happy Sheepies! Si vous aimez le jeu, n'hésitez pas à rejoindre notre Communité sur Discord et nous aider à faire grandir le jeu.","Dziękujemy za granie w Szęśliwe Owieczki! Jeśli spodobała Ci się gra, dołącz śmiało do naszej społeczności na Discordzie i daj nam znać jak ulepszyć grę.",感谢您玩我们的游戏！若有不满意的地方，可以加入我们的群体，我们也会改善我们的游戏。,感謝您玩我們的遊戲！若有不滿意的地方，可以加入我們的羣體，我們也會改善我們的遊戲。,,
support_us,Support Sheepies!,Bize Destek Olun!,Unterstütze Uns!,Поддержите Овечек!,Apoya a los Sheepies!,Apoie as Ovelinhas!,Supporta le Pecorelle!,Supportez les Moutons!,Wspieraj Owieczki!,支持我们！,支持我們！,,
support_us_desc,"If you liked Happy Sheepies, you can support the development and get some perks.","Eğer oyunu gerçekten sevdiyseniz, geliştirilmesine destek olabilir ve bazı faydalardan yararlanabilirsiniz.","Wenn du das Spiel magst, kannst du die Entwicklung unterstützen und besondere Vorteile bekommen! ","Если вам понравились Happy Sheepies, вы можете поддержать разработку и получить некоторые плюшки.","Si te gustó Happy Sheepies, puedes apoyar el desarrollo y obtener algunos beneficios.","Se você gostou do Happy Sheepies, você pode apoiar o desenvolvimento e adquirir algumas vantagens.","Se ti è piacuto Happy Sheepies, puoi supportare lo sviluppo e ottenere dei vantaggi.","Si vous avez aimé Happy Sheepies, vous pouvez parrainer son développement et avoir quelques avantages.","Jeśli spodobały Ci się Szczęśliwe Owieczki, możesz wesprzeć nas w rozwoju gry i odblokować specjalne korzyści.",如果您喜欢我们的游戏，可以支持我们的发展并且得到一写福利！,如果您喜歡我們的遊戲，可以支持我們的發展並且得到一寫福利！,,
in_game_menu,Menu,Menü,Menü,Меню,Menú,Menu,Menu,Menu,Menu,表菜单,表菜單,,
